country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines
Afghanistan,AFG,2021-02-22,0.0,,,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-23,,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-24,,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-25,,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-26,,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-27,,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-02-28,8200.0,,1367.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-01,,,1580.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-02,,,1794.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-03,,,2008.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-04,,,2221.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-05,,,2435.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-06,,,2649.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-07,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-08,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-09,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-10,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-11,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-12,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-13,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-14,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-15,,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-16,54000.0,,2862.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-17,,,2882.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-18,,,2902.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-19,,,2921.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-20,,,2941.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-21,,,2961.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-22,,,2980.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-23,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-24,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-25,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-26,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-27,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-28,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-29,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-30,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-03-31,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-01,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-02,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-03,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-04,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-05,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-06,,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-07,120000.0,,3000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-08,,,3714.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-09,,,4429.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-10,,,5143.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-11,,,5857.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-12,,,6571.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-13,,,7286.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-14,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-15,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-16,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-17,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-18,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-19,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-20,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-21,,,8000.0,Oxford/AstraZeneca
Afghanistan,AFG,2021-04-22,240000.0,,8000.0,Oxford/AstraZeneca
Albania,ALB,2021-01-10,0.0,,,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-11,,,64.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-12,128.0,,64.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-13,188.0,,63.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-14,266.0,,66.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-15,308.0,,62.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-16,369.0,,62.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-17,405.0,,58.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-18,447.0,,55.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-19,483.0,,51.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-20,519.0,,47.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-21,549.0,,40.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-22,,,34.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-23,,,26.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-24,,,21.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-25,,,15.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-26,,,9.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-27,,,4.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-28,,,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-29,,,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-30,,,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-01-31,,,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-01,,,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-02,550.0,1.0,0.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-03,,,12.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-04,,,24.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-05,,,35.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-06,,,47.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-07,,,59.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-08,,,71.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-09,1127.0,438.0,82.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-10,,,81.0,"Pfizer/BioNTech, Sinovac"
Albania,ALB,2021-02-11,,,79.0,"Pfizer/BioNTech, Sinovac"
