country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines
Afghanistan,AFG,2021-04-22,240000.0,,8000.0,Oxford/AstraZeneca
Albania,ALB,2021-04-22,382998.0,,11216.0,"Pfizer/BioNTech, Sinovac"
Algeria,DZA,2021-02-19,75000.0,,3748.0,Sputnik V
Andorra,AND,2021-04-19,26414.0,4681.0,1050.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Angola,AGO,2021-04-19,395447.0,,18751.0,Oxford/AstraZeneca
Anguilla,AIA,2021-04-12,5835.0,,20.0,Oxford/AstraZeneca
Antigua and Barbuda,ATG,2021-04-22,29754.0,,250.0,Oxford/AstraZeneca
Argentina,ARG,2021-04-22,6693438.0,842206.0,108327.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Armenia,ARM,2021-03-31,565.0,,,Sputnik V
Aruba,ABW,2021-04-20,43945.0,16434.0,,Pfizer/BioNTech
Australia,AUS,2021-04-22,1785338.0,,60810.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Austria,AUT,2021-04-22,2693775.0,762975.0,48623.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Azerbaijan,AZE,2021-04-22,1381967.0,464090.0,15739.0,Sinovac
Bahamas,BHS,2021-04-12,15000.0,,757.0,Oxford/AstraZeneca
Bahrain,BHR,2021-04-22,1149633.0,507061.0,17330.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bangladesh,BGD,2021-04-22,7746661.0,1967975.0,161375.0,Oxford/AstraZeneca
Barbados,BRB,2021-04-21,71350.0,,754.0,Oxford/AstraZeneca
Belarus,BLR,2021-04-09,,,,Sputnik V
Belgium,BEL,2021-04-22,3272118.0,733278.0,54057.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Belize,BLZ,2021-04-22,38211.0,,719.0,Oxford/AstraZeneca
Bermuda,BMU,2021-04-19,52337.0,22243.0,731.0,Pfizer/BioNTech
Bhutan,BTN,2021-04-22,479354.0,,246.0,Oxford/AstraZeneca
Bolivia,BOL,2021-04-22,619794.0,188656.0,16055.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Bosnia and Herzegovina,BIH,2021-04-09,15000.0,,263.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Botswana,BWA,2021-04-10,31628.0,,2335.0,Oxford/AstraZeneca
Brazil,BRA,2021-04-22,35024957.0,9683990.0,430031.0,"Oxford/AstraZeneca, Sinovac"
Brunei,BRN,2021-04-06,2323.0,,581.0,Oxford/AstraZeneca
Bulgaria,BGR,2021-04-22,698517.0,151817.0,11163.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cambodia,KHM,2021-04-22,1845972.0,564566.0,48166.0,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
Cameroon,CMR,2021-04-12,400.0,,400.0,Sinopharm/Beijing
Canada,CAN,2021-04-22,11158636.0,974515.0,279047.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cape Verde,CPV,2021-03-24,2184.0,,364.0,Oxford/AstraZeneca
Cayman Islands,CYM,2021-04-21,63774.0,28988.0,531.0,Pfizer/BioNTech
Chile,CHL,2021-04-21,13722557.0,5873211.0,139393.0,"Pfizer/BioNTech, Sinovac"
China,CHN,2021-04-22,211223000.0,,3955286.0,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac"
Colombia,COL,2021-04-21,4131008.0,1280891.0,96561.0,"Pfizer/BioNTech, Sinovac"
Congo,COG,2021-04-14,14297.0,,,"Sinopharm/Beijing, Sputnik V"
Costa Rica,CRI,2021-04-19,698327.0,247734.0,15933.0,Pfizer/BioNTech
Cote d'Ivoire,CIV,2021-04-22,109077.0,,3116.0,Oxford/AstraZeneca
