country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines,location,population,prop_people_fully_vaccinated
Gibraltar,GIB,2021-04-22,67366.0,31454.0,164.0,Pfizer/BioNTech,Gibraltar,33691.0,0.9336024457570271
Israel,ISR,2021-04-22,10379693.0,5005417.0,10986.0,"Moderna, Pfizer/BioNTech",Israel,8655541.0,0.578290484673344
Seychelles,SYC,2021-04-19,116957.0,50524.0,844.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Seychelles,98340.0,0.5137685580638601
Falkland Islands,FLK,2021-04-14,4407.0,1775.0,12.0,Oxford/AstraZeneca,Falkland Islands,3483.0,0.50961814527706
Cayman Islands,CYM,2021-04-21,63774.0,28988.0,531.0,Pfizer/BioNTech,Cayman Islands,65720.0,0.44108338405356057
United Arab Emirates,ARE,2021-04-20,,3836521.0,90125.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",United Arab Emirates,9890400.0,0.38790352260778127
Bermuda,BMU,2021-04-19,52337.0,22243.0,731.0,Pfizer/BioNTech,Bermuda,62273.0,0.3571852969986993
Chile,CHL,2021-04-21,13722557.0,5873211.0,139393.0,"Pfizer/BioNTech, Sinovac",Chile,19116209.0,0.3072372247028686
Bahrain,BHR,2021-04-22,1149633.0,507061.0,17330.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Bahrain,1701583.0,0.2979936917564409
Monaco,MCO,2021-04-16,22953.0,10859.0,174.0,Pfizer/BioNTech,Monaco,39244.0,0.27670471919274287
Jersey,JEY,2021-04-18,77185.0,27772.0,904.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Jersey,101073.0,0.2747716996626201
United States,USA,2021-04-22,218947643.0,89245776.0,2947229.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",United States,331002647.0,0.2696225447405561
Turks and Caicos Islands,TCA,2021-03-29,24300.0,10000.0,312.0,Pfizer/BioNTech,Turks and Caicos Islands,38718.0,0.25827780360555813
San Marino,SMR,2021-04-21,24262.0,8641.0,662.0,"Pfizer/BioNTech, Sputnik V",San Marino,33938.0,0.25461135010902236
Malta,MLT,2021-04-21,295587.0,93727.0,5188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Malta,441539.0,0.21227343450974887
Guernsey,GGY,2021-04-20,46587.0,13618.0,758.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Guernsey,67052.0,0.2030961045158981
Serbia,SRB,2021-04-22,3176769.0,1284370.0,22338.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Serbia,6804596.0,0.188750368133538
Isle of Man,IMN,2021-04-22,67915.0,15508.0,606.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man,85032.0,0.1823783987204817
Saint Helena,SHN,2021-04-09,4572.0,1009.0,61.0,Oxford/AstraZeneca,Saint Helena,6071.0,0.16619996705649812
United Kingdom,GBR,2021-04-21,44450252.0,11192601.0,498850.0,"Oxford/AstraZeneca, Pfizer/BioNTech",United Kingdom,67886004.0,0.16487346935312322
Hungary,HUN,2021-04-22,4999342.0,1490478.0,72685.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Hungary,9660350.0,0.15428819866775012
Aruba,ABW,2021-04-20,43945.0,16434.0,,Pfizer/BioNTech,Aruba,106766.0,0.15392540696476406
Singapore,SGP,2021-04-18,2213888.0,849764.0,45530.0,"Moderna, Pfizer/BioNTech",Singapore,5850343.0,0.1452502870344525
Uruguay,URY,2021-04-22,1529024.0,428084.0,39891.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Uruguay,3473727.0,0.12323478500181505
Maldives,MDV,2021-04-21,349757.0,62586.0,6572.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Maldives,540542.0,0.11578378738377407
Morocco,MAR,2021-04-22,8914956.0,4207298.0,26644.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Morocco,36910558.0,0.11398630169720003
Faeroe Islands,FRO,2021-04-22,15531.0,5249.0,175.0,"Moderna, Pfizer/BioNTech",Faeroe Islands,48865.0,0.10741839762611276
Iceland,ISL,2021-04-22,113330.0,32609.0,2325.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Iceland,341250.0,0.09555750915750916
Denmark,DNK,2021-04-21,1691219.0,549173.0,29235.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Denmark,5792203.0,0.09481245736725732
Turkey,TUR,2021-04-22,20728975.0,7932297.0,183387.0,"Pfizer/BioNTech, Sinovac",Turkey,84339067.0,0.09405246325525513
Curacao,CUW,2021-04-22,77687.0,15365.0,2787.0,"Moderna, Pfizer/BioNTech",Curacao,164100.0,0.09363193174893358
Montserrat,MSR,2021-04-14,1751.0,467.0,15.0,Oxford/AstraZeneca,Montserrat,4999.0,0.09341868373674735
Switzerland,CHE,2021-04-18,2091809.0,765613.0,40501.0,"Moderna, Pfizer/BioNTech",Switzerland,8654618.0,0.08846294544715896
Romania,ROU,2021-04-21,4487643.0,1686583.0,81246.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Romania,19237682.0,0.08767080150300852
Lithuania,LTU,2021-04-22,847735.0,237585.0,13516.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Lithuania,2722291.0,0.08727391744673879
Czechia,CZE,2021-04-22,2719610.0,924935.0,50624.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Czechia,10708982.0,0.08637002097865137
Austria,AUT,2021-04-22,2693775.0,762975.0,48623.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Austria,9006400.0,0.0847147583940309
Spain,ESP,2021-04-22,13909964.0,3768015.0,289268.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Spain,46754783.0,0.08059100605813956
Slovenia,SVN,2021-04-22,562457.0,167467.0,9235.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Slovenia,2078932.0,0.08055434232577112
