country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines,location_x,population_x,location_y,total_cases,total_deaths,stringency_index,population_y,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,prop_people_fully_vaccinated
Gibraltar,GIB,2021-04-22,67366.0,31454.0,164.0,Pfizer/BioNTech,Gibraltar,33691.0,Gibraltar,,,,33691.0,3457.0999999999963,,,,,,,,,,,,79.93000000000012,,0.9336024457570271
Israel,ISR,2021-04-22,10379693.0,5005417.0,10986.0,"Moderna, Pfizer/BioNTech",Israel,8655541.0,Israel,286235.31147540984,2351.8546365914785,66.10520000000012,8655541.0,402.6059999999998,30.60000000000023,11.733000000000088,7.358999999999953,33132.32000000019,0.5,93.31999999999977,6.7399999999999425,15.399999999999903,35.39999999999975,,2.990000000000008,82.97000000000048,0.9189999999999969,0.578290484673344
Seychelles,SYC,2021-04-19,116957.0,50524.0,844.0,"Oxford/AstraZeneca, Sinopharm/Beijing",Seychelles,98340.0,Seychelles,773.5604938271605,12.220183486238533,45.38425373134315,98340.0,208.35400000000107,36.200000000000244,8.606000000000089,5.58599999999999,26382.28699999993,1.1000000000000074,242.6480000000008,10.550000000000079,7.099999999999947,35.700000000000244,,3.599999999999984,73.40000000000052,0.7959999999999965,0.5137685580638601
Falkland Islands,FLK,2021-04-14,4407.0,1775.0,12.0,Oxford/AstraZeneca,Falkland Islands,3483.0,Falkland Islands,,,,3483.0,,,,,,,,,,,,,81.43999999999994,,0.50961814527706
Cayman Islands,CYM,2021-04-21,63774.0,28988.0,531.0,Pfizer/BioNTech,Cayman Islands,65720.0,Cayman Islands,,,,65720.0,256.4959999999994,,,,49903.029000000075,,,13.220000000000022,,,,,83.92000000000006,,0.44108338405356057
United Arab Emirates,ARE,2021-04-20,,3836521.0,90125.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",United Arab Emirates,9890400.0,United Arab Emirates,141866.17333333334,572.6165413533835,51.96492134831482,9890400.0,112.44200000000052,34.0,1.1440000000000043,0.5260000000000042,67293.48299999934,,317.83999999999736,17.260000000000158,1.1999999999999946,37.39999999999979,,1.1999999999999946,77.97000000000048,0.8899999999999909,0.38790352260778127
Bermuda,BMU,2021-04-19,52337.0,22243.0,731.0,Pfizer/BioNTech,Bermuda,62273.0,Bermuda,,,57.00089999999991,62273.0,1308.8200000000033,,,,50669.31500000004,,139.54700000000008,13.0,,,,,82.59000000000009,,0.3571852969986993
Chile,CHL,2021-04-21,13722557.0,5873211.0,139393.0,"Pfizer/BioNTech, Sinovac",Chile,19116209.0,Chile,439136.6941176471,11853.234256926951,74.57374064837852,19116209.0,24.28199999999993,35.39999999999975,11.08700000000005,6.938000000000064,22767.036999999873,1.300000000000004,127.99300000000054,8.46000000000003,34.200000000000244,41.5,,2.1100000000000114,80.18000000000023,0.8509999999999992,0.3072372247028686
Bahrain,BHR,2021-04-22,1149633.0,507061.0,17330.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Bahrain,1701583.0,Bahrain,62949.30896226415,241.6178660049628,61.41821078431414,1701583.0,1935.907000000006,32.399999999999764,2.3719999999999843,1.386999999999993,43290.70499999991,,151.68899999999894,16.520000000000174,5.800000000000004,37.60000000000025,,2.0,77.29000000000065,0.8519999999999947,0.2979936917564409
Monaco,MCO,2021-04-16,22953.0,10859.0,174.0,Pfizer/BioNTech,Monaco,39244.0,Monaco,651.0572792362768,8.007692307692308,62.3139613526567,39244.0,19347.5,,,,,,,5.460000000000026,,,,13.800000000000106,86.75,,0.27670471919274287
Jersey,JEY,2021-04-18,77185.0,27772.0,904.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Jersey,101073.0,Jersey,,,,101073.0,,,,,,,,,,,,,,,0.2747716996626201
United States,USA,2021-04-22,218947643.0,89245776.0,2947229.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",United States,331002647.0,United States,10584080.052516412,243481.03818615753,61.10593406593361,331002647.0,35.608000000000146,38.29999999999967,15.412999999999819,9.731999999999976,54225.44599999978,1.1999999999999955,151.08900000000034,10.789999999999969,19.10000000000016,24.600000000000207,,2.7699999999999867,78.86000000000041,0.9259999999999918,0.2696225447405561
Turks and Caicos Islands,TCA,2021-03-29,24300.0,10000.0,312.0,Pfizer/BioNTech,Turks and Caicos Islands,38718.0,Turks and Caicos Islands,,,,38718.0,37.31199999999994,,,,,,,,,,,,80.22000000000003,,0.25827780360555813
San Marino,SMR,2021-04-21,24262.0,8641.0,662.0,"Pfizer/BioNTech, Sputnik V",San Marino,33938.0,San Marino,1577.5344418052257,48.87259615384615,52.254794188862,33938.0,556.6669999999948,,,,56861.469999999856,,,5.640000000000021,,,,3.799999999999972,84.9700000000005,,0.25461135010902236
Malta,MLT,2021-04-21,295587.0,93727.0,5188.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Malta,441539.0,Malta,8328.050970873786,124.06842105263158,52.986947608200346,441539.0,1454.0370000000082,42.399999999999956,19.426000000000137,11.323999999999968,36513.32300000033,0.20000000000000162,168.71100000000055,8.82999999999995,20.899999999999824,30.200000000000202,,4.484999999999958,82.52999999999949,0.8949999999999965,0.21227343450974887
Guernsey,GGY,2021-04-20,46587.0,13618.0,758.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Guernsey,67052.0,Guernsey,,,,67052.0,,,,,,,,,,,,,,,0.2030961045158981
Serbia,SRB,2021-04-22,3176769.0,1284370.0,22338.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Serbia,6804596.0,Serbia,168897.8426150121,1793.671679197995,57.87217183770858,6804596.0,80.29100000000028,41.20000000000032,17.36599999999999,,14048.881000000045,,439.41500000000036,10.07999999999995,37.70000000000029,40.200000000000315,97.71899999999967,5.608999999999964,76.0,0.8059999999999995,0.188750368133538
Isle of Man,IMN,2021-04-22,67915.0,15508.0,606.0,"Oxford/AstraZeneca, Pfizer/BioNTech",Isle of Man,85032.0,Isle of Man,,,,85032.0,147.87199999999982,,,,,,,,,,,,81.39999999999988,,0.1823783987204817
Saint Helena,SHN,2021-04-09,4572.0,1009.0,61.0,Oxford/AstraZeneca,Saint Helena,6071.0,Saint Helena,,,,6071.0,,,,,,,,,,,,,80.56000000000006,,0.16619996705649812
