country,total_cases,total_deaths,population,proportionate_total_cases,proportionate_total_deaths
Andorra,12942.0,123.0,77265.0,0.16750145602795574,0.0015919238982721802
Montenegro,96187.0,1451.0,628062.0,0.15314889294369027,0.002310281469026943
Czechia,1612832.0,28787.0,10708982.0,0.15060553841625657,0.002688117320581919
San Marino,5045.0,88.0,33938.0,0.14865342683717367,0.002592963639578054
Slovenia,234811.0,4187.0,2078932.0,0.11294789824775414,0.0020140148884138587
Luxembourg,65813.0,790.0,625976.0,0.10513661865630632,0.0012620292151775787
Serbia,673520.0,6130.0,6804596.0,0.09898015988017511,0.0009008617117019144
Bahrain,168201.0,614.0,1701583.0,0.09884971817419426,0.0003608404644381144
Israel,837807.0,6346.0,8655541.0,0.0967942962779565,0.0007331719646409161
United States,31929351.0,570345.0,331002647.0,0.09646252466373781,0.0017230828972796704
Sweden,932076.0,13882.0,10099270.0,0.0922914230434477,0.0013745547945544579
Estonia,119218.0,1120.0,1326539.0,0.08987146250506016,0.0008443023537189634
Lithuania,237950.0,3818.0,2722291.0,0.08740799569186394,0.0014024951777748963
Netherlands,1460753.0,17226.0,17134873.0,0.08525029628174075,0.0010053182185826531
Panama,361992.0,6198.0,4314768.0,0.0838960518850608,0.001436461937235096
Belgium,964526.0,23909.0,11589616.0,0.08322329229889928,0.002062967401163248
Portugal,832891.0,16956.0,10196707.0,0.08168235097860516,0.001662889793734389
France,5469674.0,102323.0,68147687.0,0.08026206377334567,0.0015014889646951628
Hungary,760967.0,26001.0,9660350.0,0.07877219769470051,0.002691517388086353
Croatia,316308.0,6738.0,4105268.0,0.07704929373673046,0.001641305756408595
Lebanon,516600.0,7057.0,6825442.0,0.07568740603172659,0.0010339257149939887
Georgia,300264.0,3981.0,3989175.0,0.0752696986218955,0.0009979507040929515
Liechtenstein,2851.0,57.0,38137.0,0.0747567978603456,0.0014946115321079266
Switzerland,644396.0,10555.0,8654618.0,0.07445689688441477,0.001219580113183505
Spain,3456886.0,77496.0,46754783.0,0.07393652110416168,0.0016574988702225395
Poland,2731256.0,64168.0,37846605.0,0.07216647305616977,0.0016954757236481318
North Macedonia,149221.0,4595.0,2083380.0,0.0716244756117463,0.002205550595666657
Armenia,211399.0,3969.0,2963234.0,0.07134063661526562,0.0013394149770149775
Qatar,199980.0,407.0,2881060.0,0.06941195254524377,0.0001412674501745885
Slovakia,378150.0,11357.0,5459643.0,0.06926277047784993,0.0020801726413247168
Jordan,697487.0,8474.0,10203140.0,0.06836003426396188,0.0008305286411830084
Cyprus,59792.0,296.0,875899.0,0.06826357833494501,0.00033793850660863864
Malta,30096.0,411.0,441539.0,0.06816158934997814,0.0009308351017690397
Austria,602494.0,10026.0,9006400.0,0.0668962071415882,0.0011132083851483389
Brazil,14167973.0,383502.0,212559409.0,0.06665417949106173,0.0018042108876958724
United Kingdom,4413834.0,127597.0,67886004.0,0.06501832100767045,0.001879577416281565
Italy,3920945.0,118357.0,60461828.0,0.06484992481537277,0.0019575491498536896
