location,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,proportionate_total_cases
Andorra,48.23480676328516,77265.0,163.7549999999991,,,,,,109.13500000000006,7.969999999999938,29.0,37.79999999999972,,,83.72999999999983,0.8679999999999961,0.058461326454270476
San Marino,52.254794188862,33938.0,556.6669999999948,,,,56861.469999999856,,,5.640000000000021,,,,3.799999999999972,84.9700000000005,,0.046482834633897865
Montenegro,,628062.0,46.280000000000115,39.10000000000025,14.761999999999956,9.394999999999984,16409.287999999935,1.0,387.304999999996,10.07999999999995,44.0,47.9,,3.8610000000000295,76.88000000000028,0.8290000000000036,0.04496687440830183
Czechia,58.80202898550725,10708982.0,137.1759999999996,43.29999999999966,19.02700000000004,11.579999999999947,32605.905999999926,,227.48500000000053,6.820000000000031,30.5,38.299999999999706,,6.6300000000000665,79.3800000000003,0.8999999999999955,0.039548728982293405
Bahrain,61.41821078431414,1701583.0,1935.907000000006,32.399999999999764,2.3719999999999843,1.386999999999993,43290.70499999991,,151.68899999999894,16.520000000000174,5.800000000000004,37.60000000000025,,2.0,77.29000000000065,0.8519999999999947,0.03699455681107777
Luxembourg,53.03304245283026,625976.0,231.4470000000001,39.70000000000031,14.311999999999918,9.842000000000064,94277.96500000046,0.20000000000000157,128.27500000000094,4.420000000000023,20.899999999999835,26.0,,4.509999999999992,82.25,0.9159999999999973,0.036704145336475494
Israel,66.10520000000012,8655541.0,402.6059999999998,30.60000000000023,11.733000000000088,7.358999999999953,33132.32000000019,0.5,93.31999999999977,6.7399999999999425,15.399999999999903,35.39999999999975,,2.990000000000008,82.97000000000048,0.9189999999999969,0.03306960379199981
United States,61.10593406593361,331002647.0,35.608000000000146,38.29999999999967,15.412999999999819,9.731999999999976,54225.44599999978,1.1999999999999955,151.08900000000034,10.789999999999969,19.10000000000016,24.600000000000207,,2.7699999999999867,78.86000000000041,0.9259999999999918,0.03197581695628075
Slovenia,59.457968397291125,2078932.0,102.6189999999993,44.5,19.061999999999916,12.930000000000033,31400.83999999988,,153.49300000000088,7.25,20.10000000000017,25.0,,4.5,81.31999999999975,0.9169999999999909,0.030716435959671638
Serbia,57.87217183770858,6804596.0,80.29100000000028,41.20000000000032,17.36599999999999,,14048.881000000045,,439.41500000000036,10.07999999999995,37.70000000000029,40.200000000000315,97.71899999999967,5.608999999999964,76.0,0.8059999999999995,0.0248211418598565
