country,total_cases,total_deaths
United States,31929351.0,570345.0
Brazil,14167973.0,383502.0
Mexico,2319596.0,214079.0
India,16263695.0,186920.0
United Kingdom,4413834.0,127597.0
Italy,3920945.0,118357.0
Russia,4682573.0,105328.0
France,5469674.0,102323.0
Germany,3254609.0,81203.0
Spain,3456886.0,77496.0
Colombia,2720619.0,70026.0
Iran,2335905.0,68366.0
Poland,2731256.0,64168.0
Argentina,2796768.0,60620.0
Peru,1734606.0,58604.0
South Africa,1571348.0,53995.0
Indonesia,1626812.0,44172.0
Ukraine,2043901.0,43041.0
Turkey,4501382.0,37329.0
Czechia,1612832.0,28787.0
Romania,1039998.0,26943.0
Hungary,760967.0,26001.0
Chile,1148320.0,25532.0
Belgium,964526.0,23909.0
Canada,1164108.0,23810.0
Ecuador,365393.0,17965.0
Netherlands,1460753.0,17226.0
Portugal,832891.0,16956.0
Pakistan,784108.0,16842.0
Philippines,971049.0,16370.0
Bulgaria,392913.0,15618.0
Iraq,1010304.0,15128.0
Sweden,932076.0,13882.0
Egypt,219774.0,12914.0
Bolivia,294391.0,12758.0
Slovakia,378150.0,11357.0
Bangladesh,736074.0,10781.0
Switzerland,644396.0,10555.0
Tunisia,294138.0,10063.0
Austria,602494.0,10026.0
Greece,326395.0,9788.0
Japan,553362.0,9778.0
Morocco,507938.0,8976.0
Jordan,697487.0,8474.0
Bosnia and Herzegovina,194371.0,8164.0
Guatemala,218145.0,7345.0
Lebanon,516600.0,7057.0
Saudi Arabia,409093.0,6869.0
Croatia,316308.0,6738.0
Israel,837807.0,6346.0
Panama,361992.0,6198.0
Serbia,673520.0,6130.0
Moldova,248009.0,5668.0
Paraguay,260382.0,5633.0
Honduras,204828.0,5047.0
Ireland,245310.0,4866.0
China,102332.0,4844.0
North Macedonia,149221.0,4595.0
Azerbaijan,307980.0,4274.0
Slovenia,234811.0,4187.0
Georgia,300264.0,3981.0
Armenia,211399.0,3969.0
Lithuania,237950.0,3818.0
Ethiopia,247989.0,3496.0
Dominican Republic,262935.0,3441.0
Kazakhstan,352988.0,3304.0
Myanmar,142674.0,3206.0
Algeria,120363.0,3181.0
Costa Rica,235274.0,3125.0
Nepal,292152.0,3117.0
Palestine,287680.0,3115.0
Libya,174216.0,2936.0
Afghanistan,58312.0,2561.0
Kenya,154392.0,2560.0
Denmark,246455.0,2468.0
Belarus,348486.0,2463.0
Albania,130114.0,2364.0
Sudan,33599.0,2300.0
Uruguay,175891.0,2160.0
Kosovo,102720.0,2115.0
El Salvador,68161.0,2089.0
Latvia,113561.0,2088.0
Nigeria,164588.0,2061.0
Venezuela,188063.0,1987.0
Oman,185278.0,1942.0
South Korea,117458.0,1811.0
Kyrgyzstan,93006.0,1566.0
United Arab Emirates,504872.0,1565.0
Zimbabwe,38018.0,1555.0
Syria,21725.0,1496.0
Kuwait,262766.0,1493.0
