country,total_vaccinations,people_fully_vaccinated,vaccines
United States,218947643.0,89245776.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
India,132754608.0,19170339.0,"Covaxin, Oxford/AstraZeneca"
United Kingdom,44450252.0,11192601.0,"Oxford/AstraZeneca, Pfizer/BioNTech"
Brazil,35024957.0,9683990.0,"Oxford/AstraZeneca, Sinovac"
Turkey,20728975.0,7932297.0,"Pfizer/BioNTech, Sinovac"
Indonesia,17920908.0,6488197.0,"Oxford/AstraZeneca, Sinovac"
Russia,17218313.0,6430894.0,"EpiVacCorona, Sputnik V"
Chile,13722557.0,5873211.0,"Pfizer/BioNTech, Sinovac"
Germany,24286909.0,5790531.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
France,18284330.0,5019183.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Israel,10379693.0,5005417.0,"Moderna, Pfizer/BioNTech"
Mexico,15477517.0,4978670.0,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Italy,16316820.0,4787119.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Morocco,8914956.0,4207298.0,"Oxford/AstraZeneca, Sinopharm/Beijing"
United Arab Emirates,0.0,3836521.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
Spain,13909964.0,3768015.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Poland,9806966.0,2495838.0,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Bangladesh,7746661.0,1967975.0,Oxford/AstraZeneca
Romania,4487643.0,1686583.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Hungary,4999342.0,1490478.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Serbia,3176769.0,1284370.0,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Colombia,4131008.0,1280891.0,"Pfizer/BioNTech, Sinovac"
Canada,11158636.0,974515.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Netherlands,4578432.0,943197.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
