country,iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations,vaccines,location,population,prop_people_fully_vaccinated,stringency_index,aged_65_older,gdp_per_capita,life_expectancy,human_development_index
United States,USA,2021-04-22,218947643.0,89245776.0,2947229.0,"Johnson&Johnson, Moderna, Pfizer/BioNTech",United States,331002647.0,0.2696225447405561,61.10593406593361,15.412999999999819,54225.44599999978,78.86000000000041,0.9259999999999918
India,IND,2021-04-22,132754608.0,19170339.0,2218728.0,"Covaxin, Oxford/AstraZeneca",India,1380004385.0,0.013891505859236817,67.625056947608,5.989000000000024,6426.674000000073,69.65999999999987,0.6450000000000018
United Kingdom,GBR,2021-04-21,44450252.0,11192601.0,498850.0,"Oxford/AstraZeneca, Pfizer/BioNTech",United Kingdom,67886004.0,0.16487346935312322,66.91798185941053,18.51699999999988,39753.24400000034,81.31999999999975,0.932000000000003
Brazil,BRA,2021-04-22,35024957.0,9683990.0,430031.0,"Oxford/AstraZeneca, Sinovac",Brazil,212559409.0,0.04555898064244242,67.64463917525762,8.552000000000035,14103.451999999905,75.88000000000032,0.764999999999992
Turkey,TUR,2021-04-22,20728975.0,7932297.0,183387.0,"Pfizer/BioNTech, Sinovac",Turkey,84339067.0,0.09405246325525513,66.03491358024712,8.152999999999931,25129.34100000001,77.68999999999944,0.8199999999999946
Indonesia,IDN,2021-04-22,17920908.0,6488197.0,203169.0,"Oxford/AstraZeneca, Sinovac",Indonesia,273523621.0,0.023720792289452765,62.727566909975245,5.318999999999971,11188.743999999955,71.72000000000037,0.7179999999999992
Russia,RUS,2021-04-22,17218313.0,6430894.0,293459.0,"EpiVacCorona, Sputnik V",Russia,145934460.0,0.04406700103594449,51.84429213483133,14.177999999999939,24765.95399999992,72.58000000000084,0.8240000000000076
Chile,CHL,2021-04-21,13722557.0,5873211.0,139393.0,"Pfizer/BioNTech, Sinovac",Chile,19116209.0,0.3072372247028686,74.57374064837852,11.08700000000005,22767.036999999873,80.18000000000023,0.8509999999999992
Germany,DEU,2021-04-22,24286909.0,5790531.0,492867.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Germany,83783945.0,0.06911265636871121,61.64821029082796,21.453000000000095,45229.244999999886,81.33000000000094,0.9470000000000025
France,FRA,2021-04-21,18284330.0,5019183.0,358315.0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",France,68147687.0,0.07365155328015754,59.842660753880196,19.717999999999968,38605.67100000008,82.66000000000034,0.9010000000000068
